state,population
ALABAMA,5024279
ALASKA,733391
ARIZONA,7151502
ARKANSAS,3011524
CALIFORNIA,39538223
COLORADO,5773714
CONNECTICUT,3605944
DELAWARE,989948
FLORIDA,21538187
GEORGIA,10711908
HAWAII,1455271
IDAHO,1839106
ILLINOIS,12812508
INDIANA,6785528
IOWA,3190369
KANSAS,2937880
KENTUCKY,4505836
LOUISIANA,4657757
MAINE,1362359
MARYLAND,6177224
MASSACHUSETTS,7029917
MICHIGAN,10077331
MINNESOTA,5706494
MISSISSIPPI,2961279
MISSOURI,6154913
MONTANA,1084225
NEBRASKA,1961504
NEVADA,3104614
NEW HAMPSHIRE,1377529
NEW JERSEY,9288994
NEW MEXICO,2117522
NEW YORK,20201249
NORTH CAROLINA,10439388
NORTH DAKOTA,779094
OHIO,11799448
OKLAHOMA,3959353
OREGON,4237256
PENNSYLVANIA,13002700
RHODE ISLAND,1097379
SOUTH CAROLINA,5118425
SOUTH DAKOTA,886667
TENNESSEE,6910840
TEXAS,29145505
UTAH,3271616
VERMONT,643077
VIRGINIA,8631393
WASHINGTON,7693612
WEST VIRGINIA,1793716
WISCONSIN,5893718
WYOMING,576851
